Mon_Year,Spices,Location,Grade,Price
Jan-22,CORIANDER,RAMGANJ,,84.07
Feb-22,CORIANDER,RAMGANJ,,84.49
Mar-22,CORIANDER,RAMGANJ,,94.21
Apr-22,CORIANDER,RAMGANJ,,121.66
May-22,CORIANDER,RAMGANJ,,120.12
Jun-22,CORIANDER,RAMGANJ,,114.78
Jul-22,CORIANDER,RAMGANJ,,113.12
Aug-22,CORIANDER,RAMGANJ,,96.14
Sep-22,CORIANDER,RAMGANJ,,99.09
Oct-22,CORIANDER,RAMGANJ,,92.46
Nov-22,CORIANDER,RAMGANJ,,90.64
Dec-22,CORIANDER,RAMGANJ,,89.81
Jan-23,CORIANDER,RAMGANJ,,83.38
Feb-23,CORIANDER,RAMGANJ,,75.39
Mar-23,CORIANDER,RAMGANJ,,86.31
Apr-23,CORIANDER,RAMGANJ,,97.98
May-23,CORIANDER,RAMGANJ,,88.66
Jun-23,CORIANDER,RAMGANJ,,80.24
Jul-23,CORIANDER,RAMGANJ,,65.8
Aug-23,CORIANDER,RAMGANJ,,71.27
Sep-23,CORIANDER,RAMGANJ,,67.67
Oct-23,CORIANDER,RAMGANJ,,64.79
Nov-23,CORIANDER,RAMGANJ,,71.13
Dec-23,CORIANDER,RAMGANJ,,70.54
Jan-21,CUMIN,CHENNAI,,148.75
Feb-21,CUMIN,CHENNAI,,145
Mar-21,CUMIN,CHENNAI,,148.5
Apr-21,CUMIN,CHENNAI,,154.1
May-21,CUMIN,CHENNAI,,154
Jun-21,CUMIN,CHENNAI,,152
Jul-21,CUMIN,CHENNAI,,151.4
Aug-21,CUMIN,CHENNAI,,162.5
Sep-21,CUMIN,CHENNAI,,172
Oct-21,CUMIN,CHENNAI,,165
Nov-21,CUMIN,CHENNAI,,168.75
Dec-21,CUMIN,CHENNAI,,173.12
Jan-22,CUMIN,CHENNAI,,200
Feb-22,CUMIN,CHENNAI,,223.75
Mar-22,CUMIN,CHENNAI,,236.5
Apr-22,CUMIN,CHENNAI,,255
May-22,CUMIN,CHENNAI,,268.75
Jun-22,CUMIN,CHENNAI,,270
Jul-22,CUMIN,CHENNAI,,274.5
Aug-22,CUMIN,CHENNAI,,280
Sep-22,CUMIN,CHENNAI,,272
Oct-22,CUMIN,CHENNAI,,273.12
Nov-22,CUMIN,CHENNAI,,280
Dec-22,CUMIN,CHENNAI,,317
Jan-23,CUMIN,CHENNAI,,372.5
Feb-23,CUMIN,CHENNAI,,367.5
Mar-23,CUMIN,CHENNAI,,384
Apr-23,CUMIN,CHENNAI,,445
May-23,CUMIN,CHENNAI,,438.75
Jun-23,CUMIN,CHENNAI,,557.5
Jul-23,CUMIN,CHENNAI,,665
Aug-23,CUMIN,CHENNAI,,653.75
Sep-23,CUMIN,CHENNAI,,649
Oct-23,CUMIN,CHENNAI,,597.5
Nov-23,CUMIN,CHENNAI,,551.25
Dec-23,CUMIN,CHENNAI,,608
Apr-21,CUMIN,JODHPUR,,131.75
May-21,CUMIN,JODHPUR,,
Jun-21,CUMIN,JODHPUR,,130
Jul-21,CUMIN,JODHPUR,,116.71
Aug-21,CUMIN,JODHPUR,,64.58
Sep-21,CUMIN,JODHPUR,,126.67
Oct-21,CUMIN,JODHPUR,,126.33
Nov-21,CUMIN,JODHPUR,,
Dec-21,CUMIN,JODHPUR,,
Jan-22,CUMIN,JODHPUR,,
Feb-22,CUMIN,JODHPUR,,
Mar-22,CUMIN,JODHPUR,,177.65
Apr-22,CUMIN,JODHPUR,,190.68
May-22,CUMIN,JODHPUR,,166.37
Jun-22,CUMIN,JODHPUR,,179.62
Jul-22,CUMIN,JODHPUR,,190.07
Aug-22,CUMIN,JODHPUR,,195.21
Sep-22,CUMIN,JODHPUR,,197.98
Oct-22,CUMIN,JODHPUR,,197.97
Nov-22,CUMIN,JODHPUR,,216.23
Dec-22,CUMIN,JODHPUR,,235.55
Jan-23,CUMIN,JODHPUR,,283.5
Feb-23,CUMIN,JODHPUR,,260.13
Mar-23,CUMIN,JODHPUR,,288.02
Apr-23,CUMIN,JODHPUR,,361.63
May-23,CUMIN,JODHPUR,,385.47
Jun-23,CUMIN,JODHPUR,,432.9
Jul-23,CUMIN,JODHPUR,,545.22
Aug-23,CUMIN,JODHPUR,,510.7
Sep-23,CUMIN,JODHPUR,,501.73
Oct-23,CUMIN,JODHPUR,,480.43
Nov-23,CUMIN,JODHPUR,,422.49
Dec-23,CUMIN,JODHPUR,,380.48
Apr-21,CUMIN,UNJHA,,108
May-21,CUMIN,UNJHA,,
Jun-21,CUMIN,UNJHA,,127.64
Jul-21,CUMIN,UNJHA,,124.14
Aug-21,CUMIN,UNJHA,,134.86
Sep-21,CUMIN,UNJHA,,131.62
Oct-21,CUMIN,UNJHA,,133.5
Nov-21,CUMIN,UNJHA,,
Dec-21,CUMIN,UNJHA,,145.25
Jan-22,CUMIN,UNJHA,,163.95
Feb-22,CUMIN,UNJHA,,178.19
Mar-22,CUMIN,UNJHA,,186.95
Apr-22,CUMIN,UNJHA,,191.86
May-22,CUMIN,UNJHA,,202.68
Jun-22,CUMIN,UNJHA,,198.97
Jul-22,CUMIN,UNJHA,,213.48
Aug-22,CUMIN,UNJHA,,220.18
Sep-22,CUMIN,UNJHA,,222.24
Oct-22,CUMIN,UNJHA,,220.03
Nov-22,CUMIN,UNJHA,,221.67
Dec-22,CUMIN,UNJHA,,251.75
Jan-23,CUMIN,UNJHA,,299.13
Feb-23,CUMIN,UNJHA,,296.8
Mar-23,CUMIN,UNJHA,,302.59
Apr-23,CUMIN,UNJHA,,359.41
May-23,CUMIN,UNJHA,,420.8
Jun-23,CUMIN,UNJHA,,475.33
Jul-23,CUMIN,UNJHA,,566.77
Aug-23,CUMIN,UNJHA,,558.07
Sep-23,CUMIN,UNJHA,,550.3
Oct-23,CUMIN,UNJHA,,524.29
Nov-23,CUMIN,UNJHA,,432.86
Dec-23,CUMIN,UNJHA,,372.33
Jan-21,FENNEL,CHENNAI,,91.62
Feb-21,FENNEL,CHENNAI,,90.62
Mar-21,FENNEL,CHENNAI,,107.5
Apr-21,FENNEL,CHENNAI,,114.4
May-21,FENNEL,CHENNAI,,112
Jun-21,FENNEL,CHENNAI,,116
Jul-21,FENNEL,CHENNAI,,123.2
Aug-21,FENNEL,CHENNAI,,124.75
Sep-21,FENNEL,CHENNAI,,152.87
Oct-21,FENNEL,CHENNAI,,147.5
Nov-21,FENNEL,CHENNAI,,155
Dec-21,FENNEL,CHENNAI,,155
Jan-22,FENNEL,CHENNAI,,155
Feb-22,FENNEL,CHENNAI,,158
Mar-22,FENNEL,CHENNAI,,167.5
Apr-22,FENNEL,CHENNAI,,165
May-22,FENNEL,CHENNAI,,140
Jun-22,FENNEL,CHENNAI,,131.66
